Customer ID,first_purchase_date,last_purchase_date,number_of_orders,number_of_items,total_revenue,average_order_value,avg_items_per_invoice,avg_unique_stockcodes_per_invoice,customer_type,R,F,M,rfm_score,customer_segment,churn_status,days_since_last_purchase,Country,LTV,CohortMonth
12371,2010-03-04 18:23:00,2011-10-26 10:16:00,5,1436,4067.38,813.476,287.2,33.4,Retail,2,2,3,223,Loyal Customer,Active,44.0,Switzerland,4067.38,2010-03
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,794,1298.04,432.68,264.6666666666667,17.333333333333332,Retail,2,2,2,222,Average Customer,Active,71.0,Denmark,1298.04,2011-02
12373,2010-02-04 12:08:00,2011-02-01 13:10:00,3,516,1127.65,375.8833333333334,172.0,17.0,Retail,1,2,2,122,Average Customer,Churned,310.0,Austria,1127.65,2010-02
12374,2010-04-30 14:01:00,2011-11-14 15:37:00,4,1362,2989.2200000000003,747.3050000000001,340.5,20.75,Retail,3,2,3,323,Loyal Customer,Active,24.0,Austria,2989.2200000000003,2010-04
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,178,457.5,228.75,89.0,8.5,Retail,3,1,2,312,Average Customer,Active,10.0,Finland,457.5,2011-09
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2,240,503.15,251.575,120.0,6.5,Retail,1,1,2,112,At Risk / Lost Customer,Churned,389.0,Switzerland,503.15,2010-10
12377,2010-04-29 15:34:00,2011-01-28 15:45:00,4,2105,3426.32,856.58,526.25,38.0,Wholesale,,,,,,,,,,
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,2,3316,5416.32,2708.16,1658.0,150.5,Wholesale,,,,,,,,,,
12379,2010-06-23 12:49:00,2011-09-19 10:09:00,4,815,1620.22,405.055,203.75,20.25,Retail,2,2,3,223,Loyal Customer,Active,81.0,Belgium,1620.22,2010-06
12380,2010-02-15 12:05:00,2011-11-18 11:27:00,11,3355,9676.300000000001,879.6636363636364,305.0,25.181818181818183,Retail,3,3,3,333,Best Customer,Active,21.0,Belgium,9676.300000000001,2010-02
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,808,1845.31,369.062,161.6,17.4,Retail,3,2,3,323,Loyal Customer,Active,4.0,Norway,1845.31,2011-08
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1532,1850.56,370.11199999999997,306.4,19.8,Retail,2,2,3,223,Loyal Customer,Churned,184.0,Belgium,1850.56,2010-12
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,126,585.27,292.635,63.0,13.5,Retail,3,1,2,312,Average Customer,Active,28.0,Switzerland,585.27,2011-08
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,612,1938.4,1938.4,612.0,65.0,Wholesale,,,,,,,,,,
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,354,401.9,200.95,177.0,5.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,337.0,Australia,401.9,2010-12
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,134,143.94,143.94,134.0,9.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,414.0,Australia,143.94,2010-10
12388,2010-05-06 12:54:00,2011-11-24 12:30:00,8,2001,3901.11,487.63875,250.125,18.25,Retail,3,3,3,333,Best Customer,Active,15.0,Australia,3901.11,2010-05
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,3,614,1433.33,477.77666666666664,204.66666666666666,16.333333333333332,Retail,1,2,3,123,Average Customer,Churned,402.0,Australia,1433.33,2010-02
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,353,549.84,549.84,353.0,32.0,Retail,2,1,2,212,Average Customer,Active,79.0,Belgium,549.84,2011-09
12391,2010-02-15 10:12:00,2011-11-18 12:07:00,6,1204,2724.84,454.14000000000004,200.66666666666666,43.166666666666664,Retail,3,3,3,333,Best Customer,Active,21.0,Cyprus,2724.84,2010-02
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,73,234.75000000000003,234.75000000000003,73.0,7.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,590.0,Australia,234.75000000000003,2010-04
12393,2010-10-07 13:49:00,2011-09-28 15:41:00,6,1311,2399.4500000000003,399.90833333333336,218.5,17.666666666666668,Retail,2,3,3,233,Loyal Customer,Active,71.0,Australia,2399.4500000000003,2010-10
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,819,1272.48,636.24,409.5,13.5,Retail,2,1,2,212,Average Customer,Active,63.0,Denmark,1272.48,2011-05
12395,2010-04-16 10:16:00,2011-11-20 15:21:00,15,3205,4721.17,314.74466666666666,213.66666666666666,16.133333333333333,Retail,3,3,3,333,Best Customer,Active,18.0,Belgium,4721.17,2010-04
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,591,931.43,931.43,591.0,65.0,Wholesale,,,,,,,,,,
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,1263,2409.9,1204.95,631.5,63.0,Wholesale,,,,,,,,,,
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1394,1635.6599999999999,1635.6599999999999,1394.0,85.0,Wholesale,,,,,,,,,,
12399,2010-03-05 08:45:00,2011-08-12 13:15:00,7,2198,1962.3,280.3285714285714,314.0,15.714285714285714,Retail,2,3,3,233,Loyal Customer,Active,118.0,Belgium,1962.3,2010-03
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,91,205.25,205.25,91.0,11.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,413.0,Australia,205.25,2010-10
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,11,84.3,84.3,11.0,5.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,302.0,Belgium,84.3,2011-02
12402,2010-02-07 12:41:00,2011-01-20 13:49:00,6,584,1256.9,209.48333333333335,97.33333333333333,11.666666666666666,Retail,1,3,2,132,Average Customer,Churned,322.0,Belgium,1256.9,2010-02
12403,2010-07-06 11:39:00,2011-10-21 10:51:00,2,260,1019.36,509.68,130.0,4.5,Retail,2,1,2,212,Average Customer,Active,49.0,Denmark,1019.36,2010-07
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,1,63.24,63.24,1.0,1.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,681.0,Finland,63.24,2010-01
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,857,1710.39,1710.39,857.0,54.0,Wholesale,,,,,,,,,,
12406,2010-01-11 14:04:00,2011-11-17 19:22:00,5,3416,6390.36,1278.072,683.2,33.0,Wholesale,,,,,,,,,,
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1416,1708.1200000000001,341.624,283.2,15.4,Retail,2,2,3,223,Loyal Customer,Active,49.0,Belgium,1708.1200000000001,2011-03
12408,2010-07-29 13:27:00,2011-11-07 12:27:00,8,2229,4340.7699999999995,542.5962499999999,278.625,19.875,Retail,3,3,3,333,Best Customer,Active,32.0,Belgium,4340.7699999999995,2010-07
12409,2010-05-23 15:21:00,2011-09-22 10:38:00,7,13143,23419.29,3345.612857142857,1877.5714285714287,37.714285714285715,Wholesale,,,,,,,,,,
12410,2010-07-25 13:26:00,2011-02-04 10:39:00,3,341,1013.71,337.90333333333336,113.66666666666667,13.333333333333334,Retail,1,2,2,122,Average Customer,Churned,308.0,Switzerland,1013.71,2010-07
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,138,346.9,346.9,138.0,22.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,409.0,Australia,346.9,2010-10
12412,2010-06-18 13:22:00,2011-09-26 10:16:00,6,1997,2596.93,432.82166666666666,332.8333333333333,21.166666666666668,Retail,2,3,3,233,Loyal Customer,Active,74.0,Denmark,2596.93,2010-06
12413,2010-11-02 13:26:00,2011-10-04 09:00:00,4,319,999.45,249.8625,79.75,12.75,Retail,2,2,2,222,Average Customer,Active,66.0,France,999.45,2010-11
12414,2010-09-02 12:22:00,2011-05-06 14:51:00,6,495,952.41,158.73499999999999,82.5,4.666666666666667,Retail,2,3,2,232,Loyal Customer,Churned,216.0,Austria,952.41,2010-09
12415,2010-06-30 08:30:00,2011-11-15 14:22:00,28,91743,144458.37,5159.2275,3276.535714285714,33.142857142857146,Wholesale,,,,,,,,,,
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,132,202.56,202.56,132.0,11.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,656.0,Australia,202.56,2010-02
12417,2009-12-06 10:30:00,2011-12-06 14:52:00,20,2894,6797.41,339.8705,144.7,18.5,Retail,3,3,3,333,Best Customer,Active,2.0,Belgium,6797.41,2009-12
12418,2010-03-19 14:47:00,2011-08-19 11:08:00,4,1088,2021.2,505.3,272.0,25.5,Retail,2,2,3,223,Loyal Customer,Active,112.0,Switzerland,2021.2,2010-03
12419,2010-10-22 10:40:00,2010-11-19 10:04:00,2,231,503.01,251.505,115.5,12.5,Retail,1,1,2,112,At Risk / Lost Customer,Churned,385.0,Spain,503.01,2010-10
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,345,600.39,600.39,345.0,29.0,Retail,2,1,2,212,Average Customer,Active,63.0,Cyprus,600.39,2011-10
12421,2010-07-22 13:57:00,2011-11-24 09:07:00,6,652,1098.6,183.1,108.66666666666667,10.833333333333334,Retail,3,3,2,332,Loyal Customer,Active,15.0,Spain,1098.6,2010-07
12422,2009-12-18 12:44:00,2011-09-05 09:48:00,17,2596,5231.8,307.7529411764706,152.7058823529412,10.117647058823529,Retail,2,3,3,233,Loyal Customer,Active,95.0,Australia,5231.8,2009-12
12423,2010-08-31 09:31:00,2011-12-09 10:10:00,10,1793,2622.39,262.239,179.3,16.5,Retail,3,3,3,333,Best Customer,Active,0.0,Belgium,2622.39,2010-08
12424,2010-06-09 15:15:00,2011-06-30 12:06:00,4,2025,3340.03,835.0075,506.25,23.0,Wholesale,,,,,,,,,,
12425,2010-09-17 14:10:00,2011-09-22 17:31:00,2,1147,1741.41,870.705,573.5,45.5,Wholesale,,,,,,,,,,
12426,2010-02-15 08:41:00,2011-05-29 12:26:00,2,584,1345.21,672.605,292.0,38.5,Retail,2,1,2,212,Average Customer,Churned,194.0,Germany,1345.21,2010-02
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,533,825.8,275.26666666666665,177.66666666666666,10.333333333333334,Retail,3,2,2,322,Loyal Customer,Active,21.0,Germany,825.8,2010-12
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,9,3536,7956.46,884.0511111111111,392.8888888888889,32.666666666666664,Retail,3,3,3,333,Best Customer,Active,25.0,Finland,7956.46,2011-03
12429,2010-06-11 13:28:00,2011-11-30 17:22:00,8,2890,6204.41,775.55125,361.25,19.125,Retail,3,3,3,333,Best Customer,Active,8.0,Denmark,6204.41,2010-06
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,117,256.4,256.4,117.0,11.0,Retail,3,1,1,311,Average Customer,Active,42.0,Norway,256.4,2011-10
12431,2010-01-15 09:04:00,2011-11-04 11:55:00,27,4612,10432.22,386.3785185185185,170.8148148148148,14.481481481481481,Retail,3,3,3,333,Best Customer,Active,35.0,Australia,10432.22,2010-01
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,5,1801,5059.32,1011.8639999999999,360.2,21.6,Retail,3,2,3,323,Loyal Customer,Active,42.0,Norway,5059.32,2011-06
12433,2010-08-20 09:23:00,2011-12-09 10:02:00,10,13534,16794.14,1679.414,1353.4,55.9,Wholesale,,,,,,,,,,
12434,2010-11-23 13:38:00,2011-09-16 12:38:00,3,532,1103.43,367.81,177.33333333333334,23.333333333333332,Retail,2,2,2,222,Average Customer,Active,84.0,Australia,1103.43,2010-11
12435,2009-12-02 13:58:00,2011-09-21 09:06:00,6,4958,13925.93,2320.9883333333332,826.3333333333334,18.666666666666668,Wholesale,,,,,,,,,,
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,211,509.01,509.01,211.0,16.0,Retail,2,1,2,212,Average Customer,Active,99.0,Norway,509.01,2011-09
12437,2009-12-02 16:24:00,2011-12-08 11:35:00,39,8001,12683.4,325.2153846153846,205.15384615384616,14.461538461538462,Retail,3,3,3,333,Best Customer,Active,1.0,France,12683.4,2009-12
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,2,1180,2906.85,1453.425,590.0,49.0,Wholesale,,,,,,,,,,
12439,2009-12-14 08:40:00,2010-01-26 12:11:00,2,478,1142.88,571.44,239.0,35.5,Retail,1,1,2,112,At Risk / Lost Customer,Churned,682.0,Cyprus,1142.88,2009-12
12440,2009-12-22 12:03:00,2010-09-03 13:11:00,2,331,859.2,429.6,165.5,16.0,Retail,1,1,2,112,At Risk / Lost Customer,Churned,461.0,Austria,859.2,2009-12
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,121,173.55,173.55,121.0,11.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,366.0,France,173.55,2010-12
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,182,172.06,172.06,182.0,12.0,Retail,3,1,1,311,Average Customer,Active,2.0,Spain,172.06,2011-12
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,182,485.31,485.31,182.0,21.0,Retail,1,1,2,112,At Risk / Lost Customer,Churned,731.0,Norway,485.31,2009-12
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,5,1155,5005.46,1001.092,231.0,35.2,Retail,3,2,3,323,Loyal Customer,Active,20.0,Norway,5005.46,2011-06
12445,2010-10-15 12:28:00,2011-11-17 18:43:00,2,206,434.98,217.49,103.0,12.0,Retail,3,1,2,312,Average Customer,Active,21.0,Spain,434.98,2010-10
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,352,1002.3100000000001,1002.3100000000001,352.0,58.0,Wholesale,,,,,,,,,,
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,190,476.49,476.49,190.0,26.0,Retail,2,1,2,212,Average Customer,Churned,242.0,Belgium,476.49,2011-04
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,243,449.45,449.45,243.0,22.0,Retail,2,1,2,212,Average Customer,Active,43.0,Spain,449.45,2011-10
12449,2010-09-27 09:37:00,2011-11-17 13:46:00,6,2282,4835.89,805.9816666666667,380.3333333333333,33.5,Retail,3,3,3,333,Best Customer,Active,21.0,Belgium,4835.89,2010-09
12450,2010-08-22 13:11:00,2011-07-06 14:41:00,5,442,688.2,137.64000000000001,88.4,7.4,Retail,2,2,2,222,Average Customer,Churned,155.0,Spain,688.2,2010-08
12451,2010-06-28 12:58:00,2011-11-29 08:40:00,8,9359,12669.88,1583.735,1169.875,63.875,Wholesale,,,,,,,,,,
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,2,185,430.57,215.285,92.5,11.0,Retail,3,1,2,312,Average Customer,Active,16.0,Switzerland,430.57,2011-11
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,473,707.09,707.09,473.0,43.0,Retail,2,1,2,212,Average Customer,Active,133.0,Austria,707.09,2011-07
12454,2010-10-14 17:33:00,2011-10-14 17:13:00,5,7703,16679.78,3335.9559999999997,1540.6,8.0,Wholesale,,,,,,,,,,
12455,2009-12-18 12:33:00,2011-09-27 15:31:00,10,3302,5879.95,587.995,330.2,22.7,Retail,2,3,3,233,Loyal Customer,Active,72.0,Spain,5879.95,2009-12
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,3,1633,3181.04,1060.3466666666666,544.3333333333334,41.666666666666664,Wholesale,,,,,,,,,,
12457,2010-09-30 17:59:00,2011-10-04 13:13:00,8,1095,2995.91,374.48875,136.875,10.5,Retail,2,3,3,233,Loyal Customer,Active,65.0,Cyprus,2995.91,2010-09
12458,2010-08-09 10:33:00,2011-09-29 15:25:00,4,986,1777.49,444.3725,246.5,21.0,Retail,2,2,3,223,Loyal Customer,Active,70.0,Switzerland,1777.49,2010-08
12459,2010-04-13 14:53:00,2010-04-13 14:53:00,1,258,454.36,454.36,258.0,23.0,Retail,1,1,2,112,At Risk / Lost Customer,Churned,604.0,Spain,454.36,2010-04
12460,2010-09-09 13:51:00,2010-09-09 13:51:00,1,170,326.65,326.65,170.0,18.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,455.0,Belgium,326.65,2010-09
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,2,287,826.88,413.44,143.5,17.5,Retail,2,1,2,212,Average Customer,Active,93.0,Switzerland,826.88,2011-07
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,2,536,1189.59,594.795,268.0,31.0,Retail,3,1,2,312,Average Customer,Active,18.0,Spain,1189.59,2011-02
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,4,776,1344.78,336.195,194.0,20.75,Retail,2,2,2,222,Average Customer,Active,52.0,Belgium,1344.78,2011-04
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,8,112,1212.05,151.50625,14.0,3.625,Retail,3,3,2,332,Loyal Customer,Active,9.0,Belgium,1212.05,2011-02
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,2,479,742.1899999999999,371.09499999999997,239.5,23.5,Retail,3,1,2,312,Average Customer,Active,16.0,Belgium,742.1899999999999,2011-06
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,1,56.73,56.73,1.0,1.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,681.0,France,56.73,2010-01
12467,2010-10-12 15:41:00,2010-10-12 15:41:00,1,129,132.8,132.8,129.0,9.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,422.0,USA,132.8,2010-10
12468,2010-01-26 10:09:00,2011-06-05 11:36:00,5,2201,3670.74,734.1479999999999,440.2,30.0,Retail,2,2,3,223,Loyal Customer,Churned,187.0,Germany,3670.74,2010-01
12469,2010-06-21 10:30:00,2010-07-05 12:40:00,2,2552,3070.54,1535.27,1276.0,38.0,Wholesale,,,,,,,,,,
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,1,95,211.95,211.95,95.0,23.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,689.0,Unspecified,211.95,2010-01
12471,2009-12-07 10:41:00,2011-12-07 15:43:00,79,16867,39918.19,505.2935443037975,213.50632911392404,14.379746835443038,Retail,3,3,3,333,Best Customer,Active,1.0,Germany,39918.19,2009-12
12472,2009-12-14 10:49:00,2011-11-07 14:01:00,19,10378,16249.289999999999,855.2257894736841,546.2105263157895,44.26315789473684,Wholesale,,,,,,,,,,
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,5,2414,3928.0499999999997,785.6099999999999,482.8,33.0,Retail,3,2,3,323,Loyal Customer,Active,28.0,Germany,3928.0499999999997,2011-06
12474,2010-02-11 09:41:00,2011-11-22 14:39:00,31,7940,12372.75,399.1209677419355,256.1290322580645,22.838709677419356,Retail,3,3,3,333,Best Customer,Active,16.0,Germany,12372.75,2010-02
12475,2010-10-26 08:49:00,2011-10-17 10:10:00,2,771,1149.64,574.82,385.5,30.5,Retail,2,1,2,212,Average Customer,Active,53.0,Germany,1149.64,2010-10
12476,2010-07-26 09:04:00,2011-11-24 12:40:00,23,5631,14083.91,612.3439130434782,244.82608695652175,22.304347826086957,Retail,3,3,3,333,Best Customer,Active,15.0,Germany,14083.91,2010-07
12477,2010-03-26 14:01:00,2011-11-17 09:51:00,9,6119,20276.37,2252.93,679.8888888888889,62.666666666666664,Wholesale,,,,,,,,,,
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,236,680.99,680.99,236.0,36.0,Retail,3,1,2,312,Average Customer,Active,3.0,Greece,680.99,2011-12
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,385,527.2,527.2,385.0,31.0,Retail,3,1,2,312,Average Customer,Active,10.0,Germany,527.2,2011-11
12480,2010-07-20 13:21:00,2011-11-11 14:52:00,7,2952,5464.85,780.6928571428572,421.7142857142857,34.57142857142857,Retail,3,3,3,333,Best Customer,Active,27.0,Germany,5464.85,2010-07
12481,2010-04-11 13:10:00,2011-11-17 08:29:00,15,7158,12185.51,812.3673333333334,477.2,25.333333333333332,Retail,3,3,3,333,Best Customer,Active,22.0,Germany,12185.51,2010-04
12482,2010-02-24 10:24:00,2010-05-12 16:51:00,29,27042,23691.4,816.944827586207,932.4827586206897,7.0344827586206895,Wholesale,,,,,,,,,,
12483,2010-01-31 13:28:00,2011-11-22 17:02:00,19,2160,5097.18,268.27263157894737,113.6842105263158,7.2631578947368425,Retail,3,3,3,333,Best Customer,Active,16.0,Sweden,5097.18,2010-01
12484,2010-01-27 16:41:00,2011-11-07 11:37:00,12,3266,6354.1,529.5083333333333,272.1666666666667,37.583333333333336,Retail,3,3,3,333,Best Customer,Active,32.0,Spain,6354.1,2010-01
12485,2010-06-28 15:22:00,2010-06-28 15:22:00,1,414,708.1,708.1,414.0,34.0,Retail,1,1,2,112,At Risk / Lost Customer,Churned,528.0,Sweden,708.1,2010-06
12486,2010-10-04 12:14:00,2010-10-04 12:14:00,1,523,1037.28,1037.28,523.0,49.0,Wholesale,,,,,,,,,,
12487,2009-12-09 11:36:00,2009-12-09 11:36:00,1,174,285.29999999999995,285.29999999999995,174.0,2.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,730.0,Sweden,285.29999999999995,2009-12
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,3,529,1298.66,432.8866666666667,176.33333333333334,18.333333333333332,Retail,3,2,2,322,Loyal Customer,Active,9.0,France,1298.66,2011-09
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,105,334.93,334.93,105.0,15.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,335.0,France,334.93,2011-01
12490,2009-12-01 12:52:00,2011-12-04 16:07:00,21,5906,9823.64,467.79238095238094,281.23809523809524,22.0,Retail,3,3,3,333,Best Customer,Active,4.0,France,9823.64,2009-12
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,260,460.40000000000003,460.40000000000003,260.0,25.0,Retail,3,1,2,312,Average Customer,Active,38.0,France,460.40000000000003,2011-11
12492,2010-11-01 14:58:00,2011-10-07 15:15:00,3,444,715.21,238.40333333333334,148.0,14.0,Retail,2,2,2,222,Average Customer,Active,62.0,Germany,715.21,2010-11
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,2,207,433.74,216.87,103.5,11.0,Retail,2,1,2,212,Average Customer,Churned,165.0,France,433.74,2011-05
12494,2010-05-12 13:52:00,2011-11-24 09:34:00,9,979,1815.27,201.69666666666666,108.77777777777777,12.0,Retail,3,3,3,333,Best Customer,Active,15.0,France,1815.27,2010-05
12495,2010-03-09 10:53:00,2010-03-09 10:53:00,1,130,357.4,357.4,130.0,17.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,640.0,Sweden,357.4,2010-03
12496,2010-03-29 13:57:00,2010-03-29 14:06:00,2,30,45.34,22.67,15.0,5.0,Retail,1,1,1,111,At Risk / Lost Customer,Churned,619.0,Spain,45.34,2010-03
12497,2010-03-05 09:39:00,2011-09-19 12:29:00,3,5685,6248.5,2082.8333333333335,1895.0,19.0,Wholesale,,,,,,,,,,
