CohortMonth,MonthSinceFirstPurchase,retained_customers,cohort_size,retention_rate
2010-04,9,28,268,10.45
2010-04,10,22,268,8.21
2010-04,11,37,268,13.81
2010-04,12,39,268,14.55
2010-04,13,43,268,16.04
2010-04,14,44,268,16.42
2010-04,15,43,268,16.04
2010-04,16,38,268,14.18
2010-04,17,42,268,15.67
2010-04,18,48,268,17.91
2010-04,19,60,268,22.39
2010-04,20,17,268,6.34
2010-05,0,234,234,100.0
2010-05,1,37,234,15.81
2010-05,2,40,234,17.09
2010-05,3,43,234,18.38
2010-05,4,43,234,18.38
2010-05,5,62,234,26.5
2010-05,6,49,234,20.94
2010-05,7,30,234,12.82
2010-05,8,14,234,5.98
2010-05,9,20,234,8.55
2010-05,10,27,234,11.54
2010-05,11,32,234,13.68
2010-05,12,38,234,16.24
2010-05,13,37,234,15.81
2010-05,14,25,234,10.68
2010-05,15,30,234,12.82
2010-05,16,31,234,13.25
2010-05,17,36,234,15.38
2010-05,18,35,234,14.96
2010-05,19,12,234,5.13
2010-06,0,240,240,100.0
2010-06,1,39,240,16.25
2010-06,2,44,240,18.33
2010-06,3,47,240,19.58
2010-06,4,51,240,21.25
2010-06,5,70,240,29.17
2010-06,6,31,240,12.92
2010-06,7,21,240,8.75
2010-06,8,18,240,7.5
2010-06,9,28,240,11.67
2010-06,10,25,240,10.42
2010-06,11,30,240,12.5
2010-06,12,31,240,12.92
2010-06,13,27,240,11.25
2010-06,14,24,240,10.0
2010-06,15,29,240,12.08
2010-06,16,29,240,12.08
2010-06,17,48,240,20.0
2010-06,18,13,240,5.42
2010-07,0,176,176,100.0
2010-07,1,29,176,16.48
2010-07,2,32,176,18.18
2010-07,3,52,176,29.55
2010-07,4,50,176,28.41
2010-07,5,26,176,14.77
2010-07,6,21,176,11.93
2010-07,7,23,176,13.07
2010-07,8,25,176,14.2
2010-07,9,20,176,11.36
2010-07,10,25,176,14.2
2010-07,11,26,176,14.77
2010-07,12,23,176,13.07
2010-07,13,23,176,13.07
2010-07,14,34,176,19.32
2010-07,15,27,176,15.34
2010-07,16,42,176,23.86
2010-07,17,15,176,8.52
2010-08,0,146,146,100.0
2010-08,1,31,146,21.23
2010-08,2,46,146,31.51
2010-08,3,51,146,34.93
2010-08,4,26,146,17.81
2010-08,5,18,146,12.33
2010-08,6,16,146,10.96
2010-08,7,19,146,13.01
2010-08,8,20,146,13.7
2010-08,9,20,146,13.7
2010-08,10,20,146,13.7
2010-08,11,20,146,13.7
2010-08,12,23,146,15.75
2010-08,13,26,146,17.81
2010-08,14,27,146,18.49
2010-08,15,29,146,19.86
2010-08,16,10,146,6.85
2010-09,0,213,213,100.0
2010-09,1,50,213,23.47
2010-09,2,52,213,24.41
2010-09,3,25,213,11.74
2010-09,4,19,213,8.92
2010-09,5,24,213,11.27
2010-09,6,30,213,14.08
2010-09,7,20,213,9.39
2010-09,8,28,213,13.15
2010-09,9,31,213,14.55
2010-09,10,26,213,12.21
2010-09,11,21,213,9.86
2010-09,12,45,213,21.13
2010-09,13,34,213,15.96
2010-09,14,34,213,15.96
2010-09,15,12,213,5.63
2010-10,0,349,349,100.0
2010-10,1,89,349,25.5
2010-10,2,52,349,14.9
2010-10,3,43,349,12.32
2010-10,4,32,349,9.17
2010-10,5,31,349,8.88
2010-10,6,46,349,13.18
2010-10,7,50,349,14.33
2010-10,8,36,349,10.32
2010-10,9,32,349,9.17
2010-10,10,38,349,10.89
2010-10,11,48,349,13.75
2010-10,12,62,349,17.77
2010-10,13,80,349,22.92
2010-10,14,24,349,6.88
2010-11,0,289,289,100.0
2010-11,1,51,289,17.65
2010-11,2,27,289,9.34
2010-11,3,30,289,10.38
2010-11,4,23,289,7.96
2010-11,5,24,289,8.3
2010-11,6,39,289,13.49
2010-11,7,31,289,10.73
2010-11,8,26,289,9.0
2010-11,9,28,289,9.69
2010-11,10,31,289,10.73
2010-11,11,44,289,15.22
2010-11,12,67,289,23.18
2010-11,13,18,289,6.23
2010-12,0,68,68,100.0
2010-12,1,7,68,10.29
2010-12,2,3,68,4.41
2010-12,3,6,68,8.82
2010-12,4,7,68,10.29
2010-12,5,5,68,7.35
2010-12,6,4,68,5.88
2010-12,7,6,68,8.82
2010-12,8,4,68,5.88
2010-12,9,2,68,2.94
2010-12,10,7,68,10.29
2010-12,11,12,68,17.65
2010-12,12,2,68,2.94
2011-01,0,63,63,100.0
2011-01,1,10,63,15.87
2011-01,2,13,63,20.63
2011-01,3,11,63,17.46
2011-01,4,14,63,22.22
2011-01,5,10,63,15.87
2011-01,6,9,63,14.29
2011-01,7,8,63,12.7
2011-01,8,7,63,11.11
2011-01,9,13,63,20.63
2011-01,10,16,63,25.4
2011-01,11,7,63,11.11
2011-02,0,116,116,100.0
2011-02,1,18,116,15.52
2011-02,2,15,116,12.93
2011-02,3,21,116,18.1
2011-02,4,25,116,21.55
2011-02,5,18,116,15.52
2011-02,6,18,116,15.52
2011-02,7,15,116,12.93
2011-02,8,16,116,13.79
2011-02,9,21,116,18.1
2011-02,10,6,116,5.17
2011-03,0,163,163,100.0
2011-03,1,29,163,17.79
2011-03,2,36,163,22.09
2011-03,3,31,163,19.02
2011-03,4,38,163,23.31
2011-03,5,24,163,14.72
2011-03,6,36,163,22.09
2011-03,7,30,163,18.4
2011-03,8,39,163,23.93
2011-03,9,15,163,9.2
2011-04,0,101,101,100.0
2011-04,1,26,101,25.74
2011-04,2,19,101,18.81
2011-04,3,21,101,20.79
2011-04,4,18,101,17.82
2011-04,5,23,101,22.77
2011-04,6,18,101,17.82
2011-04,7,26,101,25.74
2011-04,8,12,101,11.88
2011-05,0,99,99,100.0
2011-05,1,25,99,25.25
2011-05,2,25,99,25.25
2011-05,3,16,99,16.16
2011-05,4,22,99,22.22
2011-05,5,22,99,22.22
2011-05,6,28,99,28.28
2011-05,7,10,99,10.1
2011-06,0,100,100,100.0
2011-06,1,22,100,22.0
2011-06,2,21,100,21.0
2011-06,3,26,100,26.0
2011-06,4,22,100,22.0
2011-06,5,28,100,28.0
2011-06,6,9,100,9.0
2011-07,0,87,87,100.0
2011-07,1,21,87,24.14
2011-07,2,27,87,31.03
2011-07,3,23,87,26.44
2011-07,4,28,87,32.18
2011-07,5,13,87,14.94
2011-08,0,92,92,100.0
2011-08,1,24,92,26.09
2011-08,2,27,92,29.35
2011-08,3,23,92,25.0
2011-08,4,15,92,16.3
2011-09,0,170,170,100.0
2011-09,1,46,170,27.06
2011-09,2,65,170,38.24
2011-09,3,26,170,15.29
2011-10,0,187,187,100.0
2011-10,1,58,187,31.02
2011-10,2,28,187,14.97
2011-11,0,165,165,100.0
2011-11,1,18,165,10.91
2011-12,0,21,21,100.0
