CohortMonth,MonthSinceFirstPurchase,revenue,cohort_revenue,revenue_retention_rate
2010-03,11,20039.82,177555.601,11.29
2010-03,12,34931.02,177555.601,19.67
2010-03,13,28890.82,177555.601,16.27
2010-03,14,39754.55,177555.601,22.39
2010-03,15,23429.23,177555.601,13.2
2010-03,16,30599.73,177555.601,17.23
2010-03,17,28371.47,177555.601,15.98
2010-03,18,27860.48,177555.601,15.69
2010-03,19,42099.69,177555.601,23.71
2010-03,20,37954.18,177555.601,21.38
2010-03,21,12375.14,177555.601,6.97
2010-04,0,104939.0,104939.0,100.0
2010-04,1,15611.83,104939.0,14.88
2010-04,2,19063.39,104939.0,18.17
2010-04,3,26637.58,104939.0,25.38
2010-04,4,19018.53,104939.0,18.12
2010-04,5,25002.72,104939.0,23.83
2010-04,6,32862.27,104939.0,31.32
2010-04,7,28941.51,104939.0,27.58
2010-04,8,8610.53,104939.0,8.21
2010-04,9,12237.36,104939.0,11.66
2010-04,10,6498.14,104939.0,6.19
2010-04,11,15074.38,104939.0,14.36
2010-04,12,12991.24,104939.0,12.38
2010-04,13,18931.04,104939.0,18.04
2010-04,14,15905.84,104939.0,15.16
2010-04,15,17966.31,104939.0,17.12
2010-04,16,14938.67,104939.0,14.24
2010-04,17,18438.72,104939.0,17.57
2010-04,18,21909.04,104939.0,20.88
2010-04,19,25616.54,104939.0,24.41
2010-04,20,4942.32,104939.0,4.71
2010-05,0,79313.87,79313.87,100.0
2010-05,1,13065.95,79313.87,16.47
2010-05,2,13413.81,79313.87,16.91
2010-05,3,12576.24,79313.87,15.86
2010-05,4,14457.26,79313.87,18.23
2010-05,5,24942.58,79313.87,31.45
2010-05,6,18197.65,79313.87,22.94
2010-05,7,8021.52,79313.87,10.11
2010-05,8,5296.07,79313.87,6.68
2010-05,9,6615.33,79313.87,8.34
2010-05,10,7440.86,79313.87,9.38
2010-05,11,12156.77,79313.87,15.33
2010-05,12,17125.8,79313.87,21.59
2010-05,13,9833.36,79313.87,12.4
2010-05,14,10314.72,79313.87,13.0
2010-05,15,9267.24,79313.87,11.68
2010-05,16,15872.13,79313.87,20.01
2010-05,17,13594.51,79313.87,17.14
2010-05,18,13138.53,79313.87,16.57
2010-05,19,3417.78,79313.87,4.31
2010-06,0,85264.28,85264.28,100.0
2010-06,1,11899.86,85264.28,13.96
2010-06,2,14584.24,85264.28,17.1
2010-06,3,18220.29,85264.28,21.37
2010-06,4,23026.81,85264.28,27.01
2010-06,5,26358.57,85264.28,30.91
2010-06,6,11105.49,85264.28,13.02
2010-06,7,7044.89,85264.28,8.26
2010-06,8,5597.29,85264.28,6.56
2010-06,9,8944.36,85264.28,10.49
2010-06,10,7256.49,85264.28,8.51
2010-06,11,9467.5,85264.28,11.1
2010-06,12,11404.98,85264.28,13.38
2010-06,13,8256.2,85264.28,9.68
2010-06,14,13706.93,85264.28,16.08
2010-06,15,11906.63,85264.28,13.96
2010-06,16,13675.0,85264.28,16.04
2010-06,17,17249.73,85264.28,20.23
2010-06,18,4139.26,85264.28,4.85
2010-07,0,68881.08,68881.08,100.0
2010-07,1,8384.3,68881.08,12.17
2010-07,2,12687.94,68881.08,18.42
2010-07,3,22518.57,68881.08,32.69
2010-07,4,25196.010000000002,68881.08,36.58
2010-07,5,9001.85,68881.08,13.07
2010-07,6,9095.05,68881.08,13.2
2010-07,7,8172.47,68881.08,11.86
2010-07,8,9820.36,68881.08,14.26
2010-07,9,9305.22,68881.08,13.51
2010-07,10,9192.18,68881.08,13.34
2010-07,11,12301.460000000001,68881.08,17.86
2010-07,12,10562.32,68881.08,15.33
2010-07,13,13050.07,68881.08,18.95
2010-07,14,14737.44,68881.08,21.4
2010-07,15,12083.75,68881.08,17.54
2010-07,16,21172.51,68881.08,30.74
2010-07,17,7183.3,68881.08,10.43
2010-08,0,49677.63,49677.63,100.0
2010-08,1,12220.88,49677.63,24.6
2010-08,2,21472.77,49677.63,43.22
2010-08,3,21111.65,49677.63,42.5
2010-08,4,9326.09,49677.63,18.77
2010-08,5,5011.03,49677.63,10.09
2010-08,6,5303.2300000000005,49677.63,10.68
2010-08,7,7176.2,49677.63,14.45
2010-08,8,7960.1900000000005,49677.63,16.02
2010-08,9,6735.21,49677.63,13.56
2010-08,10,6961.75,49677.63,14.01
2010-08,11,6992.87,49677.63,14.08
2010-08,12,10287.51,49677.63,20.71
2010-08,13,13762.23,49677.63,27.7
2010-08,14,16580.25,49677.63,33.38
2010-08,15,15529.49,49677.63,31.26
2010-08,16,2981.42,49677.63,6.0
2010-09,0,77424.36,77424.36,100.0
2010-09,1,17414.22,77424.36,22.49
2010-09,2,27062.33,77424.36,34.95
2010-09,3,8500.06,77424.36,10.98
2010-09,4,5763.55,77424.36,7.44
2010-09,5,7780.12,77424.36,10.05
2010-09,6,11783.92,77424.36,15.22
2010-09,7,6313.61,77424.36,8.15
2010-09,8,9316.65,77424.36,12.03
2010-09,9,9321.47,77424.36,12.04
2010-09,10,11218.7,77424.36,14.49
2010-09,11,9068.23,77424.36,11.71
2010-09,12,20843.841,77424.36,26.92
2010-09,13,18280.9,77424.36,23.61
2010-09,14,13483.53,77424.36,17.42
2010-09,15,3922.21,77424.36,5.07
2010-10,0,140376.73,140376.73,100.0
2010-10,1,35469.23,140376.73,25.27
2010-10,2,17044.91,140376.73,12.14
2010-10,3,13612.2,140376.73,9.7
2010-10,4,11811.39,140376.73,8.41
2010-10,5,11182.61,140376.73,7.97
2010-10,6,15670.73,140376.73,11.16
2010-10,7,15693.2,140376.73,11.18
2010-10,8,12306.23,140376.73,8.77
2010-10,9,9252.47,140376.73,6.59
2010-10,10,12355.86,140376.73,8.8
2010-10,11,20752.27,140376.73,14.78
2010-10,12,31737.670000000002,140376.73,22.61
2010-10,13,33903.67,140376.73,24.15
2010-10,14,9207.11,140376.73,6.56
2010-11,0,114610.18000000001,114610.18000000001,100.0
2010-11,1,22131.81,114610.18000000001,19.31
2010-11,2,12624.34,114610.18000000001,11.02
2010-11,3,9030.87,114610.18000000001,7.88
2010-11,4,7924.2300000000005,114610.18000000001,6.91
2010-11,5,8594.5,114610.18000000001,7.5
2010-11,6,14481.720000000001,114610.18000000001,12.64
2010-11,7,9903.210000000001,114610.18000000001,8.64
2010-11,8,8118.51,114610.18000000001,7.08
2010-11,9,10445.17,114610.18000000001,9.11
2010-11,10,11079.53,114610.18000000001,9.67
2010-11,11,18499.08,114610.18000000001,16.14
2010-11,12,24304.8,114610.18000000001,21.21
2010-11,13,5393.69,114610.18000000001,4.71
2010-12,0,19920.66,19920.66,100.0
2010-12,1,2297.77,19920.66,11.53
2010-12,2,1272.03,19920.66,6.39
2010-12,3,1428.18,19920.66,7.17
2010-12,4,1769.99,19920.66,8.89
2010-12,5,1065.3600000000001,19920.66,5.35
2010-12,6,730.12,19920.66,3.67
2010-12,7,1168.54,19920.66,5.87
2010-12,8,600.24,19920.66,3.01
2010-12,9,500.83,19920.66,2.51
2010-12,10,1622.54,19920.66,8.15
2010-12,11,2950.4,19920.66,14.81
2010-12,12,468.63,19920.66,2.35
2011-01,0,21792.17,21792.17,100.0
2011-01,1,3236.9500000000003,21792.17,14.85
2011-01,2,3410.53,21792.17,15.65
2011-01,3,2454.09,21792.17,11.26
2011-01,4,4196.9400000000005,21792.17,19.26
2011-01,5,4076.2400000000002,21792.17,18.71
2011-01,6,2770.61,21792.17,12.71
2011-01,7,2884.57,21792.17,13.24
2011-01,8,1612.26,21792.17,7.4
2011-01,9,5554.24,21792.17,25.49
2011-01,10,5892.63,21792.17,27.04
2011-01,11,1256.18,21792.17,5.76
2011-02,0,36859.49,36859.49,100.0
2011-02,1,6559.96,36859.49,17.8
2011-02,2,5360.14,36859.49,14.54
2011-02,3,8791.73,36859.49,23.85
2011-02,4,8422.37,36859.49,22.85
2011-02,5,5491.99,36859.49,14.9
2011-02,6,6687.63,36859.49,18.14
2011-02,7,8262.71,36859.49,22.42
2011-02,8,5480.49,36859.49,14.87
2011-02,9,6587.17,36859.49,17.87
2011-02,10,1252.37,36859.49,3.4
2011-03,0,64409.35,64409.35,100.0
2011-03,1,13355.25,64409.35,20.73
2011-03,2,15851.69,64409.35,24.61
2011-03,3,13285.14,64409.35,20.63
2011-03,4,14017.59,64409.35,21.76
2011-03,5,9304.98,64409.35,14.45
2011-03,6,14078.3,64409.35,21.86
2011-03,7,11513.14,64409.35,17.87
2011-03,8,16762.67,64409.35,26.03
2011-03,9,5320.33,64409.35,8.26
2011-04,0,37726.95,37726.95,100.0
2011-04,1,12444.04,37726.95,32.98
2011-04,2,6773.56,37726.95,17.95
2011-04,3,7225.39,37726.95,19.15
2011-04,4,5366.55,37726.95,14.22
2011-04,5,9024.41,37726.95,23.92
2011-04,6,5765.01,37726.95,15.28
2011-04,7,11163.73,37726.95,29.59
2011-04,8,3924.77,37726.95,10.4
2011-05,0,35491.79,35491.79,100.0
2011-05,1,9053.81,35491.79,25.51
2011-05,2,8552.73,35491.79,24.1
2011-05,3,5311.76,35491.79,14.97
2011-05,4,8886.16,35491.79,25.04
2011-05,5,8986.72,35491.79,25.32
2011-05,6,12646.62,35491.79,35.63
2011-05,7,2444.59,35491.79,6.89
2011-06,0,76362.09,76362.09,100.0
2011-06,1,5313.75,76362.09,6.96
2011-06,2,6529.41,76362.09,8.55
2011-06,3,8249.42,76362.09,10.8
2011-06,4,9797.58,76362.09,12.83
2011-06,5,13489.710000000001,76362.09,17.67
2011-06,6,2473.48,76362.09,3.24
2011-07,0,31772.411,31772.411,100.0
2011-07,1,7472.34,31772.411,23.52
2011-07,2,8928.07,31772.411,28.1
2011-07,3,9774.24,31772.411,30.76
2011-07,4,8539.14,31772.411,26.88
2011-07,5,3501.25,31772.411,11.02
2011-08,0,32312.03,32312.03,100.0
2011-08,1,7706.68,32312.03,23.85
2011-08,2,10668.68,32312.03,33.02
2011-08,3,9509.62,32312.03,29.43
2011-08,4,3813.4500000000003,32312.03,11.8
2011-09,0,75084.9,75084.9,100.0
2011-09,1,16613.15,75084.9,22.13
2011-09,2,25203.11,75084.9,33.57
2011-09,3,9290.75,75084.9,12.37
2011-10,0,68186.91,68186.91,100.0
2011-10,1,23542.93,68186.91,34.53
2011-10,2,6975.610000000001,68186.91,10.23
2011-11,0,54400.28,54400.28,100.0
2011-11,1,5831.22,54400.28,10.72
2011-12,0,5350.2,5350.2,100.0
